id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6190701483,2014-05-14T00:00:00Z,364e3,4,1.75,2010,8625,1,0,0,4,7,1340,670,1957,0,98133,47.7496,-122.355,1500,8400
1118500010,2015-03-27T00:00:00Z,875e3,5,3.25,4230,21455,2,0,0,3,10,2720,1510,1990,0,98074,47.6375,-122.015,3280,22393
2524049018,2014-12-05T00:00:00Z,1406890,5,2.25,3580,16789,2,0,0,5,9,3580,0,1966,0,98040,47.5364,-122.239,3390,17000
7550800015,2014-07-14T00:00:00Z,55e4,3,1.75,1410,5000,1,0,0,4,7,810,600,1923,0,98107,47.6727,-122.395,1760,5000
5556300098,2014-06-12T00:00:00Z,124e4,5,4,4410,14380,2,0,0,3,11,4410,0,2006,0,98052,47.6463,-122.121,2720,11454
6380500135,2014-05-27T00:00:00Z,326100,2,1,880,7683,1,0,0,3,6,880,0,1942,0,98177,47.7145,-122.361,1370,7695
2078500350,2014-06-04T00:00:00Z,56e4,3,2.5,2070,12708,2,0,0,3,8,2070,0,1996,0,98056,47.5295,-122.18,2620,9617
1564000410,2015-02-18T00:00:00Z,781500,4,2.5,3440,6332,2,0,0,3,10,3440,0,2001,0,98059,47.5347,-122.155,3310,6528
6822100310,2014-11-03T00:00:00Z,685e3,4,2,2340,6000,1,0,0,5,8,1270,1070,1953,0,98199,47.6495,-122.401,1600,6000
2719100400,2014-09-12T00:00:00Z,499950,3,1.75,1340,6250,1,0,0,4,7,1090,250,1941,0,98136,47.5427,-122.386,1550,1755
8564860270,2015-03-30T00:00:00Z,502e3,4,2.5,2680,5539,2,0,0,3,8,2680,0,2013,0,98045,47.4759,-121.734,2680,5992
7203000200,2014-12-12T00:00:00Z,325e3,3,1.5,1890,7650,1,0,0,5,7,1890,0,1966,0,98003,47.3454,-122.314,1510,7560
1328340540,2014-05-23T00:00:00Z,335e3,4,2.5,1750,8476,1,0,0,4,7,1240,510,1983,0,98058,47.4447,-122.137,1660,7875
6679000960,2014-11-16T00:00:00Z,336500,4,2.5,2500,5264,2,0,0,3,7,2500,0,2003,0,98038,47.3853,-122.028,1960,5250
3886902445,2015-03-16T00:00:00Z,535e3,2,1,920,9000,1,0,0,1,6,920,0,1954,0,98033,47.6831,-122.189,1760,8400
2623069106,2015-02-19T00:00:00Z,71e4,6,3.5,3830,68825,2,0,0,3,9,3830,0,1995,0,98027,47.4574,-122.003,2410,68825
3210600010,2014-10-31T00:00:00Z,635e3,3,2.25,1940,7482,1,0,0,4,7,1240,700,1964,0,98004,47.6004,-122.195,2340,9310
1596600024,2014-10-16T00:00:00Z,55e4,5,2.75,2160,5720,1,0,0,5,7,1500,660,1950,0,98144,47.5728,-122.304,2160,4996
6072500050,2014-07-29T00:00:00Z,56e4,5,2.5,2880,9000,1,0,0,5,8,1440,1440,1966,0,98006,47.5456,-122.179,2010,9000
2856100260,2014-12-02T00:00:00Z,732e3,3,2.5,1960,3060,2,0,0,3,8,1960,0,2010,0,98117,47.6764,-122.389,1220,3060
8125200481,2014-09-26T00:00:00Z,319e3,3,2.25,1800,9597,1,0,2,3,7,1200,600,1963,0,98188,47.4516,-122.267,1700,13502
6306100190,2014-05-21T00:00:00Z,22e4,4,2.5,2160,8005,2,0,0,3,7,2160,0,1993,0,98001,47.2668,-122.231,1790,8016
1604600085,2014-07-11T00:00:00Z,4e5,3,2.5,2020,3000,1,0,0,4,6,1010,1010,1910,0,98118,47.5621,-122.291,1670,3000
6431000987,2014-09-02T00:00:00Z,385e3,3,2.25,1630,1598,3,0,0,3,8,1630,0,2008,0,98103,47.6904,-122.347,1320,1605
6450304130,2014-05-05T00:00:00Z,329950,2,1,1140,5250,1.5,0,0,4,6,1140,0,1949,0,98133,47.731,-122.341,1450,5250
3013300980,2015-05-06T00:00:00Z,640500,3,1,1070,4505,1,0,2,4,7,1070,0,1919,0,98136,47.5305,-122.384,1380,4505
1407300012,2015-01-28T00:00:00Z,4e5,2,2,1050,1173,2,0,0,3,8,720,330,2004,0,98122,47.6181,-122.302,1340,1317
8118600155,2015-03-18T00:00:00Z,599950,3,1,1680,7910,1,0,0,3,7,1680,0,1949,0,98146,47.5085,-122.385,1330,7910
0952004725,2014-11-06T00:00:00Z,28e4,2,1,880,5750,1,0,0,3,6,880,0,1939,0,98126,47.5642,-122.379,1190,5750
3629800100,2014-10-28T00:00:00Z,52e4,3,2.5,2160,4297,2,0,0,3,9,2160,0,1999,0,98029,47.5476,-122.012,2160,3968
